GPCR	Gs	Gio	Gq11	G1213
HTR1A	#808080	b	#008000	#808080
HTR1B	#808080	b	#808080	#808080
HTR1D	#808080	b	#808080	#808080
HTR1E	#808080	b	#808080	#808080
HTR1F	#808080	b	#808080	#808080
HTR2A	#808080	b	#008000	#808080
HTR2B	#808080	b	#008000	#808080
HTR2C	#808080	b	#008000	#800080
HTR4	r	#808080	#808080	#800080
HTR4-Gio	r	#808080	#808080	#800080
HTR5A	#808080	#cfccc6	#cfccc6	#808080
HTR6	r	#808080	#808080	#808080
HTR7	r	#808080	#808080	#808080
KISS1R	#808080	#808080	#008000	#808080
LHCGR	#cfccc6	#808080	#cfccc6	#808080
LPAR1	#808080	b	#008000	#800080
LPAR2	#808080	b	#008000	#800080
LPAR3	#808080	b	#008000	#808080
LPAR4	r	b	#008000	#800080
LPAR5	#808080	#808080	#cfccc6	#cfccc6
LPAR6	r	b	#808080	#800080
LTB4R	#808080	b	#008000	#800080
LTB4R2	#808080	b	#008000	#808080
MAS1	#808080	#cfccc6	#cfccc6	#808080
MC1R	#cfccc6	#808080	#808080	#808080
MC2R	#cfccc6	#808080	#808080	#808080
MC3R	r	b	#808080	#808080
MC4R	r	b	#808080	#808080
MC5R	r	#808080	#808080	#808080
MCHR1	r	b	#008000	#808080
MCHR2	#808080	#808080	#008000	#808080
MLNR	#808080	#808080	#008000	#800080
MRGPRD	#808080	#cfccc6	#cfccc6	#808080
MRGPRX1	#808080	#808080	#008000	#808080
MRGPRX2	#808080	b	#008000	#808080
MRGPRX3	#808080	#808080	#cfccc6	#808080
MRGPRX4	#808080	#808080	#cfccc6	#808080
MTNR1A	#808080	b	#008000	#808080
MTNR1B	#808080	b	#808080	#808080
NMBR	#808080	#808080	#008000	#808080
NMUR1	#808080	#808080	#008000	#808080
NMUR2	#808080	#808080	#008000	#808080
NPBWR1	#808080	b	#808080	#808080
NPBWR2	#808080	#cfccc6	#808080	#808080
NPFFR1	#808080	b	#808080	#808080
NPFFR2	#808080	b	#808080	#808080
NPSR1	#cfccc6	#808080	#cfccc6	#808080
NPY1R	#808080	b	#808080	#808080
NPY2R	#808080	#cfccc6	#cfccc6	#808080
NPY4R	#808080	#cfccc6	#cfccc6	#808080
NPY5R	#808080	b	#808080	#808080
NTSR1	r	b	#008000	#808080
NTSR2	#808080	#808080	#cfccc6	#808080
OPN4	#808080	#cfccc6	#cfccc6	#808080
OPN5	#808080	#cfccc6	#808080	#808080
OPRD1	#808080	b	#008000	#808080
OPRK1	#808080	b	#808080	#800080
OPRL1	#808080	b	#008000	#808080
OPRM1	#808080	b	#008000	#808080
OXER1	#808080	#cfccc6	#808080	#808080
OXGR1	#808080	#808080	#008000	#808080
OXTR	#808080	b	#008000	#808080
P2RY1	#808080	#808080	#008000	#808080
P2RY11	r	#808080	#008000	#808080
P2RY12	#808080	#cfccc6	#808080	#808080
P2RY13	#808080	b	#808080	#808080
P2RY14	#808080	b	#808080	#808080
P2RY2	#808080	b	#008000	#808080
P2RY4	#808080	#808080	#008000	#808080
P2RY6	#808080	#808080	#cfccc6	#cfccc6
PRLHR	#808080	#808080	#808080	#808080
PROKR1	#cfccc6	#808080	#cfccc6	#808080
PROKR2	#cfccc6	#cfccc6	#cfccc6	#808080
PTAFR	#808080	b	#008000	#808080
PTGDR	r	#808080	#808080	#808080
PTGDR2	#808080	#cfccc6	#808080	#808080
PTGER1	#808080	b	#008000	#800080
PTGER2	r	#808080	#808080	#808080
PTGER3	#808080	b	#008000	#800080
PTGER4	r	b	#808080	#808080
PTGFR	r	b	#008000	#800080
PTGIR	r	#808080	#008000	#808080
PTH1R	r	#808080	#008000	#808080
QRFPR	#808080	#cfccc6	#cfccc6	#808080
RXFP1	#cfccc6	#cfccc6	#808080	#808080
RXFP2	#cfccc6	#cfccc6	#808080	#808080
RXFP3	#808080	#cfccc6	#808080	#808080
RXFP4	#808080	#cfccc6	#808080	#808080
S1PR1	#808080	b	#808080	#800080
S1PR2	r	#808080	#008000	#800080
S1PR3	#808080	b	#008000	#800080
S1PR4	#808080	#cfccc6	#808080	#cfccc6
S1PR5	#808080	b	#808080	#800080
SCTR	#808080	#808080	#808080	#808080
SMO	#808080	#cfccc6	#808080	#cfccc6
SSTR1	#808080	b	#808080	#808080
SSTR2	#808080	b	#008000	#808080
SSTR3	#808080	b	#808080	#808080
SSTR4	#808080	b	#808080	#808080
SSTR5	#808080	b	#808080	#808080
SUCNR1	#808080	#cfccc6	#cfccc6	#808080
TAAR1	#cfccc6	#808080	#cfccc6	#808080
TACR1	r	#808080	#008000	#808080
TACR2	r	#808080	#008000	#808080
TACR3	#808080	#808080	#008000	#808080
TBXA2R	#808080	#808080	#008000	#808080
TRHR	#808080	#808080	#008000	#808080
TSHR	#cfccc6	#808080	#cfccc6	#808080
UTS2R	#808080	#808080	#008000	#808080
VIPR1	r	b	#008000	#808080
VIPR2	#cfccc6	#808080	#808080	#808080
XCR1	#808080	#cfccc6	#808080	#808080
